Licensee,City,State,Call,Frequency,Channel,Non-Directional?,Class,Status,File Number,Effective Radiated Power (Horizontal),Effective Radiated Power (Vertical),Antenna Height Above Average Terrain (Horizontal),Antenna Height Above Average Terrain (Vertical),Facility ID,lat_d,lat_deg,lat_min,lat_sec,lng_d,lng_deg,lng_min,lng_sec,Antenna Height Above Mean Sea Level (Horizontal),Antenna Height Above Mean Sea Level (Vertical),Antenna ID #,Pattern Rotation,ASRN,Antenna Height Above Ground Level,CDBS ID #
"RADIO ACTIVO BROADCASTING LICENSE, LLC                                      ",MOAPA                    ,NV ,KXLI        ,94.5  MHz ,233,ND  ,C  ,LIC    ,BLH    -20080229AAT ,93.    kW ,0.     kW ,637,0,164097,N ,36,38,7,W ,114,7,18,1755.  m,0.0    m,-         ,-       ,-       ,51.    m,1244170
"LKCM RG LICENSES, LLC                                                       ",BUNKERVILLE              ,NV ,KYLI        ,96.7  MHz ,244,ND  ,C  ,LIC    ,BLH    -20100623AEP ,93.    kW ,0.     kW ,637,0,164142,N ,36,38,7,W ,114,7,18,1755.  m,0.0    m,-         ,-       ,-       ,51.    m,1378655
FOND DU LAC BAND OF LAKE SUPERIOR CHIPPEWA                                  ,CLOQUET                  ,MN ,WGZS        ,89.1  MHz ,206,ND  ,C1 ,CP     ,BPED   -20120402AAF ,92.    kW ,92.    kW ,135,135,172280,N ,46,50,11,W ,92,42,8,536.   m,536.0  m,-         ,-       ,1221128,104.   m,1493441
STATE OF WISCONSIN - EDUCATIONAL COMMUNICATIONS BOARD                       ,BRULE                    ,WI ,WHSA        ,89.9  MHz ,210,DA  ,C1 ,LIC    ,BLED   -20120920ADG ,92.    kW ,92.    kW ,157,157,63089,N ,46,28,0.1,W ,91,33,58.8,519.2  m,519.2  m,110149,0,1280552,108.2  m,1516564
CENTRAL MICHIGAN UNIVERSITY                                                 ,ALPENA                   ,MI ,WCML-FM     ,91.7  MHz ,219,ND  ,C0 ,LIC    ,BLED   -20101006AAG ,92.    kW ,92.    kW ,364,364,9907,N ,45,8,17.3,W ,84,9,43.6,641.   m,641.0  m,-         ,-       ,1274349,315.   m,1401179
"RADIO DUBUQUE, INC.                                                         ",DUBUQUE                  ,IA ,KATF        ,92.9  MHz ,225,ND  ,C1 ,LIC    ,BLH    -20030130ACU ,92.    kW ,92.    kW ,309,309,73661,N ,42,31,44,W ,90,36,58,556.   m,556.0  m,-         ,-       ,1235092,282.   m,624909
"EMMIS RADIO LICENSE, LLC                                                    ",ST. LOUIS                ,MO ,KIHT        ,96.3  MHz ,242,ND  ,C1 ,CP     ,BPH    -20120228ACX ,92.    kW ,92.    kW ,309,309,27022,N ,38,34,27.7,W ,90,19,31.5,462.2  m,462.2  m,-         ,-       ,1020785,325.   m,1435065
HUMBERTO LOPEZ DBA DILLEY BROADCASTERS                                      ,DILLEY                   ,TX ,KLMO-FM     ,98.9  MHz ,255,DA  ,C1 ,LIC    ,BLH    -20050324ABT ,92.    kW ,92.    kW ,220,220,16931,N ,28,56,34,W ,99,16,47,407.   m,407.0  m,38079,0,1224979,200.   m,1053563
EDUCATIONAL MEDIA FOUNDATION                                                ,AZLE                     ,TX ,KYDA        ,101.7 MHz ,269,ND  ,C  ,LIC    ,BMLED  -20121119AJA ,92.    kW ,92.    kW ,620,620,28122,N ,33,26,13,W ,97,29,5,901.   m,901.0  m,27816,-       ,1034017,572.   m,1524512
CBS RADIO STATIONS INC.                                                     ,DAYTONA BEACH            ,FL ,WJHM        ,101.9 MHz ,270,ND  ,C  ,LIC    ,BMLH   -20081010ATQ ,92.    kW ,92.    kW ,483,483,73137,N ,28,55,10,W ,81,19,8,493.   m,493.0  m,-         ,-       ,1020781,475.   m,1273009
CUMULUS LICENSING LLC                                                       ,BURKBURNETT              ,TX ,KYYI        ,104.7 MHz ,284,ND  ,C1 ,LIC    ,BLH    -19990729KA  ,92.    kW ,92.    kW ,310,310,58740,N ,34,5,35,W ,98,52,44,654.   m,654.0  m,-         ,-       ,1049790,303.   m,287491
"RADIO LICENSE HOLDING CBC, LLC                                              ",TUCSON                   ,AZ ,KHYT        ,107.5 MHz ,298,ND  ,C  ,LIC    ,BLH    -199601116K  ,92.    kW ,92.    kW ,620,620,56053,N ,32,14,56,W ,111,6,59,1392.  m,1392.0 m,-         ,-       ,-       ,56.    m,217986
-                                                                           ,SHERBROOKE               ,QC ,CITE-1      ,102.7 MHz ,274,ND  ,C1 ,PROPM  ,-      --           ,92.    kW ,0.     kW ,594,0,96287,N ,45,18,43,W ,72,14,32,0.     m,0.0    m,-         ,-       ,-       ,0.     m,299068
-                                                                           ,DARTMOUTH                ,NS ,CFRQFM      ,104.3 MHz ,282,DA  ,C  ,OPER   ,-      --           ,92.    kW ,0.     kW ,192,0,94921,N ,44,39,3,W ,63,39,28,0.     m,0.0    m,-         ,0,-       ,0.     m,290758
"CHRISTIAN BROADCASTING CO., INC.                                            ",ABILENE                  ,TX ,KGNZ        ,88.1  MHz ,201,ND  ,C1 ,LIC    ,BLED   -20050627ACK ,91.    kW ,91.    kW ,252,252,10920,N ,32,13,47,W ,99,37,42,859.   m,859.0  m,-         ,-       ,1247517,195.   m,1059225
ARKANSAS BROADCASTING FOUNDATION INC                                        ,LITTLE ROCK              ,AR ,KABF        ,88.3  MHz ,202,ND  ,C1 ,LIC    ,BLED   -19900803KC  ,91.    kW ,91.    kW ,237,237,2772,N ,34,47,31,W ,92,28,38,362.   m,362.0  m,-         ,-       ,-       ,85.    m,151310
"RADIO LICENSE HOLDING CBC, LLC                                              ",KNOXVILLE                ,TN ,WIVK-FM     ,107.7 MHz ,299,ND  ,C  ,LIC    ,BLH    -20081017ABY ,91.    kW ,91.    kW ,633,633,16890,N ,35,48,41,W ,83,40,10,1014.  m,1014.0 m,-         ,-       ,1044300,93.    m,1273314
AMERICAN FAMILY ASSOCIATION                                                 ,PLAQUEMINE               ,LA ,KPAQ        ,88.1  MHz ,201,DA  ,C1 ,CP     ,BPED   -20130225ABE ,90.    kW ,90.    kW ,91,91,86794,N ,30,15,41,W ,91,18,40,92.    m,92.0   m,111830,0,1254565,90.    m,1541275
"CHRISTIAN LIFE COMMUNICATIONS, INC.                                         ",WAUSAU                   ,WI ,WCLQ        ,89.5  MHz ,208,DA  ,C1 ,LIC    ,BLED   -20040225ABB ,90.    kW ,90.    kW ,185,185,11060,N ,44,55,11,W ,89,40,45,569.   m,569.0  m,59280,0,1035458,43.    m,982858
"KANZA SOCIETY, INC.                                                         ",BREWSTER                 ,KS ,KZNK        ,90.1  MHz ,211,ND  ,C1 ,LIC    ,BLED   -20101027AAH ,90.    kW ,90.    kW ,305.4,305.4,174740,N ,39,14,31,W ,101,21,38,1343.  m,1343.0 m,-         ,-       ,1251399,294.4  m,1403995
UTAH STATE UNIVERSITY OF AGRICULTURE AND APPLIED SCIENCE                    ,LOGAN                    ,UT ,KUSU-FM     ,91.5  MHz ,218,ND  ,C  ,LIC    ,BMLED  -20081210AAE ,90.    kW ,90.    kW ,347,347,69597,N ,41,53,11,W ,112,4,17,1841.  m,1841.0 m,-         ,-       ,-       ,21.    m,1277621
"RP BROADCASTING LS, LLC                                                     ",JACKSON                  ,WY ,KJAX        ,93.5  MHz ,228,ND  ,C1 ,LIC    ,BLH    -20121219AAP ,90.    kW ,90.    kW ,315,315,82088,N ,43,27,40,W ,110,45,9,2479.  m,2479.0 m,-         ,-       ,1007984,47.    m,1533532
ST. FRANCIS MISSION                                                         ,CROOKSTON                ,NE ,KINI        ,96.1  MHz ,241,ND  ,C1 ,LIC    ,BMLH   -20020827AAJ ,90.    kW ,90.    kW ,152,152,66334,N ,43,7,50,W ,100,54,2,1025.  m,1025.0 m,-         ,-       ,1036847,99.    m,604370
CBS RADIO STATIONS INC.                                                     ,ST. LOUIS                ,MO ,KYKY        ,98.1  MHz ,251,ND  ,C1 ,LIC    ,BLH    -20110919ADO ,90.    kW ,90.    kW ,309,309,20358,N ,38,34,27.7,W ,90,19,31.5,462.2  m,462.2  m,-         ,-       ,1020785,325.   m,1446342
CAPSTAR TX LLC                                                              ,WACO                     ,TX ,WACO-FM     ,99.9  MHz ,260,ND  ,C  ,LIC    ,BLH    -19901116KD  ,90.    kW ,90.    kW ,506,506,59264,N ,31,20,15,W ,97,18,37,710.   m,710.0  m,-         ,-       ,-       ,466.   m,154375
UNIVISION RADIO LICENSE CORPORATION                                         ,GLOBE                    ,AZ ,KQMR        ,100.3 MHz ,262,ND  ,C  ,LIC    ,BMLH   -20050815AEE ,90.    kW ,90.    kW ,624,624,22977,N ,33,17,23,W ,110,51,53,1985.  m,1985.0 m,-         ,-       ,-       ,46.    m,1071448
CAPSTAR TX LLC                                                              ,PELHAM                   ,AL ,WDXB        ,102.5 MHz ,273,ND  ,C1 ,LIC    ,BLH    -20080613AAJ ,90.    kW ,90.    kW ,313,313,2114,N ,33,26,38,W ,86,52,47,494.   m,494.0  m,-         ,-       ,1050337,206.   m,1250130
PALM BEACH BROADCASTING LICENSE LLC                                         ,INDIANTOWN               ,FL ,WIRK        ,103.1 MHz ,276,ND  ,C1 ,LIC    ,BMLH   -20120529ADM ,90.    kW ,90.    kW ,297,297,1246,N ,27,1,31,W ,80,10,43,299.   m,299.0  m,27996,-       ,1018573,296.   m,1501976
"CITICASTERS LICENSES, INC.                                                  ",ST. LOUIS                ,MO ,KLOU        ,103.3 MHz ,277,ND  ,C1 ,LIC    ,BLH    -20071212ABJ ,90.    kW ,90.    kW ,313,313,9626,N ,38,34,24,W ,90,19,30,466.   m,466.0  m,-         ,-       ,1020785,325.   m,1224219
"BLUEBERRY BROADCASTING, LLC                                                 ",HOWLAND                  ,ME ,WVOM-FM     ,103.9 MHz ,280,DA  ,C  ,LIC    ,BMLH   -20060508AAJ ,90.    kW ,90.    kW ,460,460,4092,N ,45,7,46,W ,68,21,28,573.   m,573.0  m,31778,0,1021536,134.   m,1128648
CAPSTAR TX LLC                                                              ,COLUMBIA                 ,SC ,WNOK        ,104.7 MHz ,284,DA  ,C1 ,LIC    ,BLH    -20031030AAR ,90.    kW ,90.    kW ,315,315,19472,N ,34,9,3,W ,80,54,36,419.   m,419.0  m,46139,0,1019800,293.   m,696386
"ST. LOUIS FCC LICENSE SUB, LLC                                              ",GRANITE CITY             ,IL ,WARH        ,106.5 MHz ,293,ND  ,C1 ,LIC    ,BLH    -20111026AGG ,90.    kW ,90.    kW ,309,309,74577,N ,38,34,27.7,W ,90,19,31.5,462.2  m,462.2  m,-         ,-       ,1020785,325.   m,1447662
LIBERMAN BROADCASTING OF HOUSTON LICENSE LLC                                ,BEAUMONT                 ,TX ,KQQK        ,107.9 MHz ,300,ND  ,C  ,LIC    ,BMLH   -20071113AGR ,90.    kW ,90.    kW ,596,596,19087,N ,30,1,1,W ,94,32,47,611.4  m,611.4  m,-         ,-       ,1247890,594.6  m,1219404
-                                                                           ,VANCOUVER                ,BC ,CFBT-FM     ,94.5  MHz ,233,DA  ,C  ,OPER   ,-      -20000928CA1 ,90.    kW ,0.     kW ,617.6,0,169426,N ,49,21,17,W ,122,57,25,921.4  m,0.0    m,-         ,0,-       ,0.     m,1151142
MAGIC AIR COMMUNICATIONS CO.                                                ,GLENDIVE                 ,MT ,KDZN        ,96.5  MHz ,243,ND  ,C1 ,LIC    ,BLH    -19830330AA  ,90.    kW ,0.     kW ,149,0,39610,N ,47,5,15,W ,104,48,4,866.   m,0.0    m,-         ,-       ,-       ,122.   m,55153
"JER LICENSES, LLC                                                           ",NEWELL                   ,SD ,KXZT        ,107.9 MHz ,300,ND  ,C0 ,CP     ,BPH    -20130123AGC ,90.    kW ,0.     kW ,449,0,164201,N ,44,19,40,W ,103,50,6,2162.  m,0.0    m,-         ,-       ,-       ,16.    m,1541961
LOTUS FRESNO CORP.                                                          ,MADERA                   ,CA ,KHIT-FM     ,107.1 MHz ,296,ND  ,B1 ,LIC    ,BLH    -20010816AAN ,9.9    kW ,9.9    kW ,157,157,51845,N ,37,7,40,W ,119,40,38,607.   m,607.0  m,-         ,-       ,-       ,34.    m,577778
EDUCATIONAL MEDIA FOUNDATION                                                ,DYERSBURG                ,TN ,WZKV        ,90.7  MHz ,214,ND  ,C1 ,LIC    ,BLED   -19931013KA  ,9.9    kW ,100.   kW ,171,171,41886,N ,36,6,0,W ,89,29,12,259.   m,259.0  m,-         ,-       ,-       ,113.   m,190867
-                                                                           ,MONTERREY                ,NL ,XHMNFM      ,107.7 MHz ,299,ND  ,B  ,OPER   ,-      --           ,9.88   kW ,0.     kW ,-64,0,95917,N ,25,39,20,W ,100,19,54,0.     m,0.0    m,-         ,-       ,-       ,0.     m,296285
-                                                                           ,CIUDAD JUAREZ            ,CH ,XHEMFM      ,103.5 MHz ,278,ND  ,B1 ,OPER   ,-      --           ,9.84   kW ,0.     kW ,-26,0,94781,N ,31,44,19,W ,106,29,12,0.     m,0.0    m,-         ,-       ,-       ,0.     m,291442
EQUAL REPRESENTATION OF MEDIA ADVOCACY CORP.                                ,ALAMOSA                  ,CO ,KRZA        ,88.7  MHz ,204,ND  ,C1 ,LIC    ,BLED   -19851209KG  ,9.8    kW ,9.8    kW ,633,633,19660,N ,36,51,32,W ,106,0,28,3216.  m,3216.0 m,-         ,-       ,-       ,18.    m,84044
EQUAL REPRESENTATION OF MEDIA ADVOCACY CORP.                                ,ALAMOSA                  ,CO ,KRZA        ,88.7  MHz ,204,ND  ,C1 ,CP     ,BPED   -20111122DYY ,9.8    kW ,9.8    kW ,628,628,19660,N ,36,51,37,W ,106,0,25,3222.  m,3222.0 m,-         ,-       ,-       ,39.    m,1458557
SOUTH DAKOTA BOARD OF DIRECTORS FOR ED. TELECOMMUNICATIONS                  ,RAPID CITY               ,SD ,KBHE-FM     ,89.3  MHz ,207,ND  ,C3 ,LIC    ,BLED   -19840416CB  ,9.8    kW ,9.8    kW ,125,125,58327,N ,44,3,9,W ,103,14,38,1228.  m,1228.0 m,-         ,-       ,-       ,59.    m,68823
"MAIN STREET BROADCASTING, INC.                                              ",WASECA                   ,MN ,KKOR        ,92.1  MHz ,221,ND  ,C3 ,LIC    ,BMLH   -20110414ABA ,9.8    kW ,9.8    kW ,162,162,70930,N ,44,2,44,W ,93,23,2,515.   m,515.0  m,-         ,-       ,1030901,168.   m,1423877
"DIGITY 3E LICENSE, LLC                                                      ",CLEAR LAKE               ,SD ,KDBX        ,107.1 MHz ,296,ND  ,C3 ,LIC    ,BLH    -19991108AAY ,9.8    kW ,9.8    kW ,162,162,87411,N ,44,36,44,W ,96,40,41,728.   m,728.0  m,29752,-       ,1039352,113.   m,422993
-                                                                           ,SALTILLO                 ,CI ,XHSAFM      ,100.9 MHz ,265,ND  ,A  ,OPER   ,-      --           ,9.72   kW ,0.     kW ,-91,0,95203,N ,25,26,37,W ,100,59,22,0.     m,0.0    m,-         ,-       ,-       ,0.     m,292336
"KGGF-KUSN, INC.                                                             ",DEARING                  ,KS ,KUSN        ,98.1  MHz ,251,ND  ,C3 ,LIC    ,BLH    -19990928AAW ,9.7    kW ,9.7    kW ,151,151,83208,N ,37,6,28,W ,95,43,22,395.   m,395.0  m,30482,-       ,1033496,123.   m,401926
EDUCATIONAL MEDIA FOUNDATION                                                ,SWEET HOME               ,OR ,KLVU        ,107.1 MHz ,296,ND  ,C1 ,LIC    ,BMLED  -20120105ACB ,9.7    kW ,9.7    kW ,741,741,23030,N ,44,28,59,W ,122,34,55,1245.  m,1245.0 m,-         ,-       ,-       ,38.    m,1479995
"POSITIVE ALTERNATIVE RADIO, INC.                                            ",ASHEBORO                 ,NC ,WTJY        ,89.5  MHz ,208,DA  ,C2 ,LIC    ,BLED   -20021011ABE ,9.7    kW ,7.8    kW ,163,163,53092,N ,35,36,55,W ,79,53,28,369.   m,369.0  m,42413,0,1063808,72.    m,614455
-                                                                           ,NOGALES                  ,SO ,XHQTFM      ,102.7 MHz ,274,ND  ,B  ,OPER   ,-      --           ,9.65   kW ,0.     kW ,-29,0,94177,N ,31,19,10,W ,110,57,36,0.     m,0.0    m,-         ,-       ,-       ,0.     m,288331
"HAMPTON ROADS EDUCATIONAL TELECOMMUNICATIONS ASSOC., INC.                   ",GLOUCESTER POINT         ,VA ,WHRG        ,88.5  MHz ,203,DA  ,B1 ,LIC    ,BLED   -20110329ABD ,9.6    kW ,9.6    kW ,112,112,173962,N ,37,26,11,W ,76,19,54,114.2  m,114.2  m,103403,0,1027467,110.   m,1421174
"GLEISER COMMUNICATIONS, LLC                                                 ",TYLER                    ,TX ,KTBB-FM     ,92.1  MHz ,221,ND  ,C3 ,LIC    ,BLH    -19960405KE  ,9.6    kW ,9.6    kW ,135,135,24247,N ,32,22,28,W ,95,16,24,281.   m,281.0  m,-         ,-       ,1056868,119.   m,223194
"RWAVE, LLC                                                                  ",CHRISTIANSTED            ,VI ,WVVI-FM     ,93.5  MHz ,228,ND  ,B1 ,LIC    ,BLH    -19961204KC  ,9.6    kW ,9.6    kW ,246,246,62114,N ,17,43,53,W ,64,41,17,270.   m,270.0  m,-         ,-       ,-       ,38.    m,237215
CBS RADIO EAST INC.                                                         ,PHILADELPHIA             ,PA ,WIP-FM      ,94.1  MHz ,231,ND  ,B  ,LIC    ,BLH    -20070529ADN ,9.6    kW ,9.6    kW ,338,338,28628,N ,40,2,29.6,W ,75,14,11.5,403.   m,403.0  m,-         ,-       ,1231524,314.   m,1187281
"BRISTOL BROADCASTING COMPANY, INC                                           ",DUNBAR                   ,WV ,WVTS-FM     ,94.5  MHz ,233,ND  ,B1 ,LIC    ,BMLH   -19980505KB  ,9.6    kW ,9.6    kW ,160,160,2687,N ,38,25,11,W ,81,43,24,395.   m,395.0  m,-         ,-       ,1033441,60.    m,266637
GRIFFIN BROADCASTING CORPORATION                                            ,THOMASVILLE              ,AL ,WJDB-FM     ,95.5  MHz ,238,ND  ,C3 ,LIC    ,BLH    -19940316KD  ,9.6    kW ,9.6    kW ,160,160,25381,N ,31,44,25,W ,87,45,43,253.   m,253.0  m,-         ,-       ,-       ,116.   m,195878
CBS RADIO STATIONS INC.                                                     ,PHILADELPHIA             ,PA ,WRDW-FM     ,96.5  MHz ,243,ND  ,B  ,LIC    ,BLH    -20070622ADS ,9.6    kW ,9.6    kW ,337.8,337.8,51434,N ,40,2,30,W ,75,14,11,403.   m,403.0  m,-         ,-       ,1231524,314.   m,1193106
"RADIOJONES, LLC                                                             ",EAST DUBLIN              ,GA ,WEDB        ,98.1  MHz ,251,ND  ,C3 ,LIC    ,BLH    -20050309ABQ ,9.6    kW ,9.6    kW ,160,160,54832,N ,32,32,55,W ,82,38,49,255.   m,255.0  m,-         ,-       ,1233238,148.   m,1050018
CBS RADIO EAST INC.                                                         ,PHILADELPHIA             ,PA ,WOGL        ,98.1  MHz ,251,ND  ,B  ,LIC    ,BMLH   -20110422AAL ,9.6    kW ,9.6    kW ,338,338,9622,N ,40,2,29.6,W ,75,14,11.4,403.   m,403.0  m,-         ,-       ,1231524,314.   m,1424814
"NORTHERN MAINE MEDIA, INC.                                                  ",HOULTON                  ,ME ,WHOU-FM     ,100.1 MHz ,261,ND  ,C3 ,LIC    ,BLH    -19971208KC  ,9.6    kW ,9.6    kW ,160,160,52037,N ,46,8,35,W ,68,6,50,382.   m,382.0  m,-         ,-       ,1023115,99.    m,258922
"CARROLL COUNTY COMMUNICATIONS, INC.                                         ",SAVANNA                  ,IL ,WCCI        ,100.3 MHz ,262,ND  ,B1 ,LIC    ,BLH    -19901204KG  ,9.6    kW ,9.6    kW ,157,157,9119,N ,42,7,47,W ,90,8,24,374.   m,374.0  m,-         ,-       ,-       ,122.   m,155194
COCHISE MEDIA LICENSES LLC                                                  ,HUDSON                   ,WY ,KXWY        ,102.9 MHz ,275,DA  ,C1 ,LIC    ,BLH    -20090626ACL ,9.6    kW ,9.6    kW ,606,606,166054,N ,43,26,16,W ,107,59,46,2520.  m,2520.0 m,92917,0,-       ,18.    m,1319505
"ENTERCOM LICENSE, LLC                                                       ",WESTBOROUGH              ,MA ,WAAF        ,107.3 MHz ,297,DA  ,B  ,LIC    ,BLH    -20051019ABP ,9.6    kW ,9.6    kW ,335,335,74467,N ,42,20,9,W ,71,42,57,480.   m,480.0  m,46312,0,1024374,267.   m,1092815
